Title,Partner,Subject,Description,Rating,Level,Duration,Skills,URL
Microsoft Business Analyst Professional Certificate,Microsoft,Business Strategy,Launch your career as a business analyst. Build job-ready skills for an in-demand career in business analysis in as little as 3 months. No prior experience required to get started.,4.6,Beginner level,3 months,"['Business Process Modeling', 'Pivot Tables And Charts', 'Business Analysis', 'Excel Formulas', 'Requirements Analysis', 'Scrum (Software Development)', 'User Story', 'Requirements Elicitation', 'Microsoft Excel']",https://www.coursera.org/professional-certificates/microsoft-business-analyst
Data Engineering Foundations Specialization,IBM,Data Management,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem.",4.7,Beginner level,2 months,"['Database Design', 'Database Management Systems', 'Big Data', 'Data Store', 'Databases', 'SQL', 'Data Governance', 'Data Warehousing', 'Data Transformation', 'Data Pipelines', 'Stored Procedure', 'IBM DB2']",https://www.coursera.org/specializations/data-engineering-foundations
Psychological First Aid,Johns Hopkins University,Psychology,"Instructor: George Everly, Jr., PhD",4.8,,6 hours to complete,"['Trauma Care', 'Crisis Intervention', 'Triage', 'Stress Management', 'Interpersonal Communications', 'Patient Referral', 'Community Development', 'Rapport Building', 'Active Listening', 'Psychological Evaluations']",https://www.coursera.org/learn/psychological-first-aid
Tableau Business Intelligence Analyst Professional Certificate,Tableau Learning Partner,Data Analysis,Launch your career in Data Analytics. Build in-demand skills and gain credentials to go from beginner to job-ready in 8 months or less. No degree or prior experience required.,4.7,Beginner level,8 months,"['Spatial Data Analysis', 'Data Visualization Software', 'Dashboard', 'Tableau Software', 'Business Analysis', 'Exploratory Data Analysis', 'Requirements Elicitation', 'Data Governance', 'Data Warehousing']",https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst
Think like a CFO Specialization,IESE Business School,Finance,"Instructors: Marc Badia
+2 more",4.8,Beginner level,1 month,"['Balance Sheet', 'Working Capital', 'Capital Budgeting', 'Corporate Finance', 'Financial Management', 'Financial Statement Analysis', 'Accounting', 'Management Accounting', 'Capital Markets', 'Cash Flows']",https://www.coursera.org/specializations/thinklikeacfo
Meta React Specialization,Meta,Mobile and Web Development,"Master Fundamental and Advanced React Concepts. Learn all about React, from basic concepts to advanced practices",4.8,Intermediate level,1 month,"['HTML and CSS', 'Event-Driven Programming', 'React.js', 'Unit Testing', 'UI Components', 'Javascript', 'Integration Testing', 'JavaScript Frameworks', 'Web Applications', 'Front-End Web Development']",https://www.coursera.org/specializations/meta-react-specialization
Excel Skills for Business Specialization,Macquarie University,Business Essentials,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio.,4.9,Beginner level,3 months,"['Dashboard', 'Data Integrity', 'Data Validation', 'Loans', 'Excel Formulas', 'Data Cleansing', 'Business Reporting', 'Microsoft Excel', 'Data Modeling', 'Excel Macros', 'Data Analysis Expressions (DAX)', 'Data Visualization']",https://www.coursera.org/specializations/excel
Business Strategy Specialization,University of Virginia,Business Strategy,Steer Your Business to Success. Generate value and demonstrate global impact in four courses.,4.8,Beginner level,1 month,"['Governance', 'Growth Strategies', 'Plan Execution', 'New Business Development', 'Project Management', 'Business Strategy', 'Innovation', 'Business Research', 'Market Analysis', 'Peer Review', 'Strategic Thinking']",https://www.coursera.org/specializations/business-strategy
Microsoft 365 Copilot for Leaders Specialization,Vanderbilt University,Machine Learning,Copilot Mastery for Leaders. Master Microsoft 365 Copilot and redefine leadership productivity,4.8,Beginner level,1 month,"['Verification And Validation', 'Ideation', 'Microsoft Teams', 'Microsoft 365', 'ChatGPT', 'Data Validation', 'Prompt Engineering', 'Proposal Writing', 'Succession Planning', 'Meeting Facilitation']",https://www.coursera.org/specializations/microsoft-365-copilot-for-leaders
IBM IT Scrum Master Professional Certificate,IBM,Leadership and Management,Advance your career in IT as a Scrum Master. Develop the in-demand skills and hands-on experience to get job-ready in 3 months,4.8,Beginner level,3 months,"['Development Environment', 'Software Architecture', 'Agile Project Management', 'Computer Hardware', 'Agile Software Development', 'Engineering Software', 'Scrum (Software Development)', 'User Story']",https://www.coursera.org/professional-certificates/ibm-it-scrum-master
IBM Data Science Professional Certificate,IBM,Data Analysis,Prepare for a career as a data scientist. Build job-ready skills – and must-have AI skills – for an in-demand career. Earn a credential from IBM. No prior experience required.,4.6,Beginner level,Flexible schedule,"['Data Visualization Software', 'Data Wrangling', 'Dashboard', 'Matplotlib', 'Unsupervised Learning', 'Exploratory Data Analysis', 'Plotly', 'Professional Networking', 'Supervised Learning', 'SQL', 'Data Mining']",https://www.coursera.org/professional-certificates/ibm-data-science
Machine Learning Specialization,Stanford University,Machine Learning,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",4.9,Beginner level,2 months,"['Machine Learning Algorithms', 'Machine Learning', 'Machine Learning Methods', 'Applied Machine Learning', 'Unsupervised Learning', 'Random Forest Algorithm', 'Classification And Regression Tree (CART)']",https://www.coursera.org/specializations/machine-learning-introduction
Crash Course on Python,Google,Support and Operations,This course is part of Google IT Automation with Python Professional Certificate,4.8,Beginner level,Flexible schedule,"['Data Structures', 'Integrated Development Environments', 'Debugging', 'Algorithms', 'Computational Thinking', 'Computer Programming', 'Programming Principles', 'Problem Management', 'Python Programming']",https://www.coursera.org/learn/python-crash-course
Graphic Design Specialization,California Institute of the Arts,Music and Art,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project.,4.7,Beginner level,2 months,"['Adobe InDesign', 'Digital Design', 'Graphic and Visual Design', 'Art History', 'Branding', 'Logo Design', 'Design Strategies', 'Photo Editing', 'Creative Design', 'Style Guides', 'Peer Review']",https://www.coursera.org/specializations/graphic-design
AI Agent Developer Specialization,Vanderbilt University,Machine Learning,"Master Skills of an AI Agent Software Developer. Learn to design, build, and refine intelligent software agents using Python, generative AI, and agentic architectures for real-world applications.",4.8,Beginner level,2 months,"['Document Management', 'Verification And Validation', 'Large Language Modeling', 'Agentic systems', 'Ideation', 'Productivity', 'ChatGPT', 'OpenAI', 'Data Validation', 'Software Development', 'Prompt Engineering']",https://www.coursera.org/specializations/ai-agents
IBM Product Owner Professional Certificate,IBM,Leadership and Management,Get job-ready as a product owner in 3-4 months. Build the skills employers look for on a resume and prepare for the PSPO I certification exam. No prior experience required!,4.7,Beginner level,2 months,"['Market Intelligence', 'Agile Project Management', 'Product Roadmaps', 'Virtual Teams', 'ChatGPT', 'Computer Hardware', 'Stakeholder Communications', 'Agile Software Development', 'User Story', 'Kanban Principles']",https://www.coursera.org/professional-certificates/ibm-product-owner
Geographic Information Systems (GIS) Specialization,"University of California, Davis",Data Analysis,"Map Your World With GIS. Explore the tools, concepts, and terminology of spatial analysis and modeling",4.8,Beginner level,2 months,"['Spatial Data Analysis', 'Data Mapping', 'Data Visualization Software', 'Geographic Information Systems', 'File Management', 'Land Management', 'Spatial Analysis', 'Geospatial Mapping', 'Public Health']",https://www.coursera.org/specializations/gis
Human Resource Management: HR for People Managers Specialization,University of Minnesota,Business Strategy,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",4.8,Beginner level,2 months,"['Constructive Feedback', 'Employee Performance Management', 'Job Analysis', 'Workforce Planning', 'Performance Review', 'Performance Management', 'Compensation and Benefits', 'Human Resources', 'People Management']",https://www.coursera.org/specializations/human-resource-management
IBM Generative AI Engineering Professional Certificate,IBM,Machine Learning,Develop job-ready gen AI skills employers need. Build highly sought-after gen AI engineering skills and practical experience in just 6 months. No prior experience required.,4.7,Beginner level,6 months,"['Unit Testing', 'Keras (Neural Network Library)', 'Data Wrangling', 'Large Language Modeling', 'Applied Machine Learning', 'PyTorch (Machine Learning Library)', 'Flask (Web Framework)', 'Unsupervised Learning']",https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
Process Data from Dirty to Clean,Google,Data Analysis,This course is part of Google Data Analytics Professional Certificate,4.8,Beginner level,Flexible schedule,"['Data Transformation', 'Data Integrity', 'Sample Size Determination', 'Data Validation', 'Spreadsheet Software', 'Data Processing', 'Sampling (Statistics)', 'Data Cleansing', 'Data Quality', 'SQL', 'Data Analysis']",https://www.coursera.org/learn/process-data
Foundations of User Experience (UX) Design,Google,Design and Product,This course is part of Google UX Design Professional Certificate,4.8,Beginner level,Flexible schedule,"['Design Thinking', 'Sprint Planning', 'Web Content Accessibility Guidelines', 'Usability Testing', 'User Research', 'Usability', 'Prototyping', 'Persona (User Experience)', 'User Centered Design', 'Wireframing']",https://www.coursera.org/learn/foundations-user-experience-design
